user_id,org_id,first_name,last_name,email,is_first_user,created_at
100000001,100000001,Pam,Reese,preese@dailyplanet.com,TRUE,2022-03-21T01:00:40Z
100000002,100000001,Stephen,Mitchell,smitchell@dailyplanet.com,FALSE,2022-03-21T02:05:08Z
100000003,100000002,John,Valenzuela,jvalenzuela@commonspacedesign.com,TRUE,2022-03-23T00:39:09Z
100000004,100000003,Jessica,Barry,jbarry@projectshef.com,TRUE,2022-03-23T16:40:09Z
100000005,100000004,Felicia,Clay,fclay@goodburger.com,TRUE,2022-03-24T11:18:21Z
100000006,100000005,Cameron,Horton,chorton@duffbeer.com,TRUE,2022-03-25T03:44:37Z
100000007,100000004,Danny,Dougherty,ddougherty@goodburger.com,FALSE,2022-03-25T07:26:44Z
100000008,100000006,Austin,Moore,amoore@mixedupreality.com,TRUE,2022-03-25T08:44:14Z
100000009,100000007,Kelly,Long,klong@golddex.com,TRUE,2022-03-26T14:00:13Z
100000010,100000008,Curtis,Gates,cgates@vandelayindustries.com,TRUE,2022-03-27T05:55:02Z
100000011,100000009,Steven,Cook,scook@lomaxindustries.ai,TRUE,2022-03-27T14:27:03Z
100000012,100000010,Sean,Reed,sreed@bioholding.com,TRUE,2022-03-27T17:27:30Z
100000013,100000011,Gregory,Walters,gwalters@spectre.com,TRUE,2022-03-28T10:28:02Z
100000014,100000011,Gabriel,Sullivan,gsullivan@spectre.com,FALSE,2022-03-28T19:26:34Z
100000015,100000004,John,Carter,jcarter@goodburger.com,FALSE,2022-03-29T13:22:27Z
100000016,100000008,Steven,Brown,sbrown@vandelayindustries.com,FALSE,2022-03-29T13:32:10Z
100000017,100000011,Alicia,Bartlett,abartlett@spectre.com,FALSE,2022-03-29T22:53:24Z
100000018,100000011,Kathleen,Hall,khall@spectre.com,FALSE,2022-03-30T13:54:42Z
100000019,100000011,Robert,Duffy,rduffy@spectre.com,FALSE,2022-03-30T22:31:12Z
100000020,100000011,Elizabeth,Rose,erose@spectre.com,FALSE,2022-04-01T01:07:11Z
100000021,100000012,Tamara,Herman,therman@crowbar.edu,TRUE,2022-04-01T04:00:03Z
100000022,100000011,Eduardo,Garcia,egarcia@spectre.com,FALSE,2022-04-01T20:10:07Z
100000023,100000011,Julie,Williams,jwilliams@spectre.com,FALSE,2022-04-04T03:19:23Z
100000024,100000013,Tiffany,Jacobs,tjacobs@dragonflyinn.com,TRUE,2022-04-04T04:58:28Z
100000025,100000014,Joseph,Morales,jmorales@foodnstuff.org,TRUE,2022-04-06T13:28:37Z
100000026,100000015,Tracy,Lewis,tlewis@saulgoodmanassociates.io,TRUE,2022-04-08T23:24:11Z
100000027,100000011,Russell,Lewis,rlewis@spectre.com,FALSE,2022-04-09T00:16:19Z
100000028,100000016,Patrick,Avila,pavila@lastmileproblem.com,TRUE,2022-04-09T19:33:04Z
100000029,100000017,Robert,Harris,rharris@zotware.com,TRUE,2022-04-10T13:32:11Z
100000030,100000018,Hannah,Mathews,hmathews@opentech.com,TRUE,2022-04-11T09:22:40Z
100000031,100000019,Holly,Wilson,hwilson@weyland-yutanicorp.dev,TRUE,2022-04-11T23:46:27Z
100000032,100000019,Kristen,Ramirez,kramirez@weyland-yutanicorp.dev,FALSE,2022-04-12T00:09:17Z
100000033,100000020,Jared,James,jjames@gencopuraoliveoilco.com,TRUE,2022-04-12T08:34:16Z
100000034,100000019,Andrew,Gill,agill@weyland-yutanicorp.dev,FALSE,2022-04-12T19:29:44Z
100000035,100000019,Eric,Fields,efields@weyland-yutanicorp.dev,FALSE,2022-04-13T21:14:40Z
100000036,100000019,Michael,Martinez,mmartinez@weyland-yutanicorp.dev,FALSE,2022-04-14T02:29:51Z
100000037,100000019,Kimberly,Franklin,kfranklin@weyland-yutanicorp.dev,FALSE,2022-04-14T04:26:23Z
100000038,100000019,Sherry,Waller,swaller@weyland-yutanicorp.dev,FALSE,2022-04-14T09:27:04Z
100000039,100000019,Terri,Bradford,tbradford@weyland-yutanicorp.dev,FALSE,2022-04-14T12:04:26Z
100000040,100000020,Andrea,Brown,abrown@gencopuraoliveoilco.com,FALSE,2022-04-14T23:34:12Z
100000041,100000021,Michael,Clark,mclark@jackbcandles.app,TRUE,2022-04-15T04:36:18Z
100000042,100000022,Dylan,Hill,dhill@encom.io,TRUE,2022-04-15T12:54:34Z
